track_id,course_number
1,302
1,303
1,307
1,340
1,442
1,441
2,302
2,307
2,312
2,313
2,340
2,341
2,342
2,344
2,441
2,442
2,443
3,302
3,303
3,318
3,344
3,361
3,345
3,400
3,405
3,462
4,300
4,320
4,321
4,301
4,316
4,317
4,400
4,401
4,405
4,402
4,403
4,420
4,421
4,440
4,302
4,303
4,318
4,428
4,450
5,300
5,301
5,302
5,303
5,307
5,316
5,317
5,345
5,360
5,400
5,401
5,405
6,341
6,307
6,308
6,312
6,340
6,322
6,302
6,414
6,323
6,441
6,344
6,442
7,316
7,307
7,340
7,301
7,317
7,344
7,302
7,303
7,320
7,321
7,441
7,402
7,403
