,id,description
0,1,"MATH 100, 102, 104, 110, 120, 180, 184, SCIE 001"
1,2,"MATH 101, 103, 105, 121, SCIE 001"
2,3,"MATH 152, 221, 223"
3,4,"MATH 200, 217, 226, 253, 254"
4,5,"MATH 215, 255, 256, 258"
5,6,"MATH 217, 227, 254, 264, 317"
6,7,"MATH 223, 310"
7,8,"MATH 230, 335"
8,9,"MATH 257, 316, 358, MECH 358, PHYS 312"
9,10,"MATH 300, 305"
10,11,"MATH 302, 318, STAT 302"
11,12,"MATH 303, 318"
12,13,"MATH 312, 437"
13,14,"MATH 313, 437"
14,15,"MATH 401, 406"
15,16,"MATH 405, 406"
16,17,"MATH 407, CPSC 402"
17,18,"MATH 404, 541"
